INDIA,Indian Rupee,INR,356,2,
INDONESIA,Rupiah,IDR,360,2,
INTERNATIONAL MONETARY FUND (IMF) ,SDR (Special Drawing Right),XDR,960,-,
IRAN (ISLAMIC REPUBLIC OF),Iranian Rial,IRR,364,2,
IRAQ,Iraqi Dinar,IQD,368,3,
IRELAND,Euro,EUR,978,2,
ISLE OF MAN,Pound Sterling,GBP,826,2,
ISRAEL,New Israeli Sheqel,ILS,376,2,
ITALY,Euro,EUR,978,2,
JAMAICA,Jamaican Dollar,JMD,388,2,
JAPAN,Yen,JPY,392,0,
JERSEY,Pound Sterling,GBP,826,2,
JORDAN,Jordanian Dinar,JOD,400,3,
KAZAKHSTAN,Tenge,KZT,398,2,
KENYA,Kenyan Shilling,KES,404,2,
KIRIBATI,Australian Dollar,AUD,036,2,
KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF),North Korean Won,KPW,408,2,
KOREA (THE REPUBLIC OF),Won,KRW,410,0,
KUWAIT,Kuwaiti Dinar,KWD,414,3,
KYRGYZSTAN,Som,KGS,417,2,
LAO PEOPLE’S DEMOCRATIC REPUBLIC (THE),Kip,LAK,418,2,
LATVIA,Euro,EUR,978,2,
LEBANON,Lebanese Pound,LBP,422,2,
LESOTHO,Loti,LSL,426,2,
LESOTHO,Rand,ZAR,710,2,
LIBERIA,Liberian Dollar,LRD,430,2,
LIBYA,Libyan Dinar,LYD,434,3,
LIECHTENSTEIN,Swiss Franc,CHF,756,2,
LITHUANIA,Euro,EUR,978,2,
LUXEMBOURG,Euro,EUR,978
